"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2025-10-22,"English (American)","WG","WG",394128,83261,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394130,83263,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394132,83265,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394139,83272,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394150,83283,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394151,83284,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394155,83288,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394159,83292,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394166,83299,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394167,83300,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394168,83301,8,"production",13,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394169,83302,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394172,83305,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394174,83307,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394178,83311,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394191,83324,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394207,83340,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394209,83342,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394210,83343,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394212,83345,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394219,83352,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394229,83362,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394234,83367,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394235,83368,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394239,83372,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394259,83392,8,"production",21,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394263,83396,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394264,83397,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394266,83399,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394277,83410,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394280,83413,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394284,83417,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394300,83433,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394311,83444,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394315,83448,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394322,83455,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394338,83471,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394346,83479,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394349,83482,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394357,83490,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394360,83493,8,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394365,83498,8,"production",0,3686,TRUE,TRUE,TRUE
